Instancia,Clase,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23
10,2,0.0004442138487271549,0.0019700465698177486,0.002247126963115112,0.002214888490458629,0.002425955449991333,0.0013252935499862711,0.0007981629144805592,0.0034390304451579292,0.0001618937067621256,0.00033587952980192615,0.0005410995784729761,0.0008553335230483869,0.0006008639873475123,0.00022852507990448912,0.0004043786704724365,0.0005099528664655921,578.0,580.0,580.0,588.0,590.0,570.0,578.0,571.0
11,3,0.0008379217366422663,0.0012614301757878014,0.0008691639545074823,0.00377352955665065,0.0011225923556791768,0.0011915449062826705,0.0016323324601684635,0.0018660202561643087,0.00013830798356209226,0.0003355027225509149,0.00041380585657216335,0.0006622000241349718,0.0005011098632911091,0.00022131580495894144,0.0002717251883141588,0.0002683176237937707,522.0,523.0,518.0,522.0,522.0,520.0,516.0,523.0
12,2,0.0010977975690061187,0.0027671248067172587,0.0034205075857105666,0.0021370285670300666,0.006898102932595086,0.0006938627018193982,0.0024234304560520185,0.0017530673678553142,0.0003543847550156385,0.0008214320181240746,0.001037869321766161,0.0010049242763048433,0.0011811392801832532,0.0003937558562261507,0.000741047323598841,0.0007795087520733215,586.0,580.0,582.0,568.0,580.0,576.0,580.0,586.0
13,3,0.002869916379502436,0.004599953414389145,0.007495771393933876,0.0020347407263609863,0.0058565877262893124,0.0029261649245719604,0.0014941882983146506,0.0029630826272777464,0.00037430546487319307,0.0007861467912840307,0.0009810385422560797,0.0010674280563953626,0.0012244470234164455,0.0004684820285225021,0.0004901602530050176,0.0005230621504549565,585.0,582.0,571.0,582.0,580.0,580.0,578.0,581.0
14,2,0.00028278621362472217,0.0011669470724069173,0.0009441803563190394,0.004044465189800641,0.002785950220887457,0.000582014534036398,0.0013085262571483132,0.008595134468578068,0.0001861499617758717,0.00044341748909571286,0.0006368931366376579,0.0010007758592272178,0.0007806342586204583,0.0002692738129545608,0.0005540641071551419,0.001143180892640219,568.0,573.0,566.0,567.0,578.0,568.0,574.0,586.0
15,3,0.0004001485182283491,0.005567762310104667,0.006000820431890277,0.012611673929854187,0.0034279638412853517,0.001493823670466238,0.0008672806074715073,0.0008464855315577475,0.0002426823377786449,0.0008195181126482948,0.0009764139339273624,0.0018251802615779225,0.0008923592296146512,0.00034174598065026283,0.0003707771638977444,0.0004524609643260335,572.0,571.0,580.0,584.0,580.0,582.0,578.0,576.0
16,2,0.0005680780816196508,0.002111334405172071,0.005732317707493273,0.012111025585394236,0.00532706421936156,0.0005229990615642674,0.004368568915247926,0.0016392234182713464,0.000214555092845089,0.0004744903246562784,0.0005893306199808416,0.0012599382720288308,0.0010143379326503436,0.0002751142594326186,0.0005968985537099589,0.0010003271907537603,572.0,576.0,570.0,571.0,574.0,570.0,571.0,574.0
17,3,0.0018665488121637033,0.0014329454930719703,0.003828161465869921,0.007531823912784773,0.004693348423407274,0.0015597218381579732,0.0011474501658437285,0.0012757879410967453,0.00024214250028095041,0.000495646916558205,0.00047460452450521286,0.0011641324151246061,0.001269946134024678,0.00038529849743832535,0.0002784806490458636,0.00034457370509219447,583.0,574.0,580.0,576.0,562.0,566.0,569.0,577.0
18,2,0.0011483514557754718,0.0012784789335620642,0.0016009650244667017,0.004400308404769741,0.0014308243608808673,0.0020810283812097686,0.0007976671420326352,0.0018525916619621281,0.0003450960276658505,0.0006684585065941297,0.0006846208794118721,0.001538638056815002,0.0004064544003281201,0.0002721491286841577,0.0003164897277751295,0.0004547934830315635,584.0,575.0,584.0,586.0,578.0,576.0,576.0,580.0
19,3,0.0009746626117819273,0.00371819241973927,0.002229479062712817,0.005528040009825016,0.002847161654641556,0.00130524157046369,0.002567133214533707,0.00471237570259392,0.00029257533760258944,0.0011008759703348796,0.0007891848691257557,0.001218463601172632,0.001417844590824006,0.0004789803744385767,0.0005466873947608214,0.0006425410373050435,578.0,578.0,581.0,569.0,582.0,582.0,588.0,582.0
